Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2017,Patel Family Foundation (Kiran and Pallavi Patel),Florida,Health care,"Nova Southeastern U. (Ft. Lauderdale, Fla.)",Florida,Colleges and universities,Gift,"$50,000,000 "
2017,Stephen Ross,New York,Professional Sports,U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Gift,"$50,000,000 "
2017,Jerry and Debbie Ivy,California,Industry,Iowa State U. (Ames),Iowa,Colleges and universities,Pledge,"$50,000,000 "
2017,James Maguire Sr. and Frances Maguire,Pennsylvania,Insurance,Saint Joseph's U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$50,000,000 "
2017,Charles Butt,Texas,Food and beverage,Raise Your Hand Texas Foundation (Austin),Texas,Education,Gift,"$50,000,000 "
2017,Steven A. Cohen,Connecticut,Finance,Museum of Modern Art (New York),New York,Museums and libraries,Gift,"$50,000,000 "
2017,Marcia Cohn,Illinois,Family wealth,"Brandeis U. (Waltham, Mass.)",Massachusetts,Colleges and universities,Bequest,"$50,000,000 "
2017,Dale E. and Sarah Ann Fowler,California,Real estate,"Chapman U. (Orange, Calif.)",California,Colleges and universities,Pledge,"$45,000,000 "
2017,Frank H. McCourt,Massachusetts,Finance,The Shed (New York),New York,Arts,Gift,"$45,000,000 "
2017,Robert H. Taylor,New Jersey,Family wealth,Princeton U. (N.J.),New Jersey,Colleges and universities,Bequest,"$42,000,000 "
2017,Paul Allen,Washington,Technology,U. of Washington (Seattle),Washington,Colleges and universities,,"$40,000,000 "
2017,Steve and Debbie Vetter,North Carolina,Finance,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,GiftChallenge,"$40,000,000 "
2017,Anonymous,,,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,Gift,"$40,000,000 "
2017,Sandra Atlas Bass,New York,Real estate,"Northwell Health (Manhasset, N.Y.)",New York,Health,Gift,"$40,000,000 "
2017,H.F. (Gerry) Lenfest,Pennsylvania,Media and entertainment,Lenfest Institute for Journalism (Philadelphia),Pennsylvania,Other groups,PledgeMatching,"$40,000,000 "
2017,Bernard and Billi Marcus,Georgia,Retail,"U. of Colorado, Anschutz Medical Campus (Denver)",Colorado,Health,Gift,"$38,000,000 "
2017,Robert D. and Patricia E. Kern,Wisconsin,Manufacturing,Medical College of Wisconsin (Milwaukee),,Health,Gift,"$37,800,000 "
2017,Robert and Jan Weissman,Massachusetts,Finance,"Babson College (Wellesley, Mass.)",Massachusetts,Colleges and universities,Pledge,"$36,300,000 "
2017,Michael & Susan Dell Foundation (Michael and Susan Dell),Texas,Technology,Rebuild Texas Fund (Houston),Texas,Human and social services,GiftChallenge,"$36,000,000 "
2017,Porter Byrum,North Carolina,Law,Wingate U. (N.C.),North Carolina,Colleges and universities,BequestEstimated,"$35,000,000 "
2017,Porter Byrum,North Carolina,Law,Queens U. of Charlotte (N.C.),North Carolina,Colleges and universities,BequestEstimated,"$35,000,000 "
2017,Dwight and Dian Diercks,California,Technology,Milwaukee School of Engineering,Wisconsin,Colleges and universities,Gift,"$34,000,000 "
2017,Richard and Melanie Lundquist,California,Real estate,Torrance Memorial Medical Center (Calif.),California,Health,,"$32,000,000 "
2017,T. Denny Sanford,South Dakota,Finance,Zoological Society of San Diego,California,Zoos and aquariums,Gift,"$30,000,000 "
2017,Franklin Antonio,California,Telecommunications,U. of California at San Diego Foundation,California,Colleges and universities,Gift,"$30,000,000 "
2017,Donald and Patricia Schneider,Wisconsin,Transportation,"St. Norbert College (De Pere, Wis.)",Wisconsin,Colleges and universities,Gift,"$30,000,000 "
2017,Patricia Schneider,Wisconsin,Transportation,"St. Norbert College (De Pere, Wis.)",Wisconsin,Colleges and universities,Gift,"$30,000,000 "
2017,Edward Bass,Texas,Finance,U. of Arizona (Tucson),Arizona,Colleges and universities,Gift,"$30,000,000 "
2017,T. Denny Sanford and Miles Beacom,South Dakota,Finance,"Dakota State U. (Madison, S.D.)",South Dakota,Colleges and universities,Gift,"$30,000,000 "
2017,Ballmer Group (Steve and Connie Ballmer),Washington,Technology,Building Educated Leaders for Life (Boston),Massachusetts,Education,Pledge,"$30,000,000 "
2017,Kenneth and Elaine Langone,New York,Retail,"Bucknell U. (Lewisburg, Pa.)",Pennsylvania,Colleges and universities,Pledge,"$30,000,000 "
2017,Samueli Foundation (Henry and Susan Samueli),California,Technology,U. of California at Irvin (Irvine),California,Colleges and universities,,"$30,000,000 "
2017,Paul G. Allen Family Foundation (Paul Allen),Washington,Technology,Mercy Housing Northwest (Seattle),Washington,Human and social services,,"$30,000,000 "
2017,Paul G. Allen Family Foundation (Paul Allen),Washington,Technology,Mercy Housing (Denver),Colorado,Human and social services,Pledge,"$30,000,000 "
2017,Donald Bellisario,,Media and entertainment,Pennsylvania State U. (University Park),Pennsylvania,Colleges and universities,Pledge,"$30,000,000 "
2017,Andrew and Peggy Cherng,California,Food and beverage,California Institute of Technology (Pasadena),California,Colleges and universities,,"$30,000,000 "
2017,Carolee Ebeid,Michigan,Manufacturing,"ProMedica (Toledo, Ohio)",Ohio,Health,Gift,"$28,500,000 "
2017,Nancy W. Mattis,Rhode Island,Family wealth,Rhode Island Foundation (Providence),Rhode Island,Community foundations,BequestUnrestricted,"$28,000,000 "
2017,T. Denny Sanford,South Dakota,Finance,National U. (San Diego),California,Colleges and universities,Pledge,"$28,000,000 "
2017,Sobrato Family Foundation (John A. and Susan Sobrato),California,Real estate,"Drexel Schools (San Jose, Calif.)",California,Education,Pledge,"$25,000,000 "
2017,Neubauer Family Foundation (Joseph Neubauer and Jeanette Lerman-Neubauer),Pennsylvania,Food and beverage,U. of Chicago,Illinois,Colleges and universities,,"$25,000,000 "
2017,A. Dano and Brenda Davis,North Carolina,Family wealth,Mayo Clinic in Jacksonville (Fla.),Florida,Health,Gift,"$25,000,000 "
2017,John and Eilene Grayken,Massachusetts,Finance,Boston Medical Center,Massachusetts,Health,Gift,"$25,000,000 "
2017,Anonymous,,,"Gordon College (Wenham, Mass.)",Massachusetts,Colleges and universities,Pledge,"$25,000,000 "
2017,Leonard and Susan Feinstein,New Jersey,Retail,"Feinstein Institute for Medical Research (Manhasset, N.Y.)",New York,Health,Gift,"$25,000,000 "
2017,Daniel Lubetzky,New York,Food and beverage,Feed the Truth (New York),New York,Health,Pledge,"$25,000,000 "
2017,Joe R. and Teresa Lozano Long,Texas,Finance,U. of Texas Health San Antonio,Texas,Health,Gift,"$25,000,000 "
2017,Charles and Helen Schwab,California,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,,"$25,000,000 "
2017,Daniel and Jane Och,New York,Finance,Spine Hospital at the Neurological Institute of New York,New York,Health,Gift,"$25,000,000 "
2017,Craig and Frances Lindner,Ohio,Finance,"Lindner Center of Hope (Mason, Ohio)",Ohio,Health,MatchingGift,"$25,000,000 "
2017,Dan and Pam Baty,Washington,Health care,U. of Washington (Seattle),Washington,Colleges and universities,Gift,"$25,000,000 "
2017,Jeffrey and Susan Brotman,Washington,Retail,U. of Washington (Seattle),Washington,Colleges and universities,Gift,"$25,000,000 "
2017,Carol Ammon and Marie Pinizzotto,,Pharmaceuticals,U. of Delaware (Newark),Delaware,Colleges and universities,Gift,"$25,000,000 "
2017,Anonymous,,,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,Gift,"$25,000,000 "
2017,Jay and Mary Flaherty,New York,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,"$25,000,000 "
2017,Charles G. Koch Charitable Foundation (Charles G. Koch),Virginia,Industry,"Utah State U., Jon M. Huntsman School of Business (Logan)",Utah,Colleges and universities,Gift,"$25,000,000 "
2017,Huntsman Cancer Foundation (Jon M. Huntsman Sr. and Karen H. Huntsman),Utah,Chemicals,"Utah State U., Jon M. Huntsman School of Business (Logan)",Utah,Colleges and universities,Gift,"$25,000,000 "
2017,Robert and Jane Cizik,Texas,Oil,U. of Texas Health Science Center at Houston,Texas,Health,Gift,"$25,000,000 "
2017,Philip and Kim Gassett Schiller,California,Technology,"Boston College (Chestnut Hill, Mass.)",Massachusetts,Colleges and universities,Gift,"$25,000,000 "
2017,Hildebrand Foundation (Jeffrey and Mindy Hildebrand),Texas,Energy,"U. of Texas at Austin, Cockrell School of Engineering",Texas,Colleges and universities,Gift,"$25,000,000 "
2017,Daniel S. and Jane Och,New York,Finance,NewYork-Presbyterian Hospital (New York),New York,Health,Gift,"$25,000,000 "
2017,Ted and Mary Kellner,Wisconsin,Investments,U. of Wisconsin at Madison,Wisconsin,Colleges and universities,Gift,"$25,000,000 "
2017,David Mortara,Wisconsin,Health products,U. of California at San Francisco,California,Colleges and universities,Gift,"$25,000,000 "
2017,John and Marree Townsend,New York,Finance,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,Pledge,"$25,000,000 "
2017,Ric and Jean Edelman,Virginia,Finance,"XPRIZE Foundation (Culver City, Calif.)",California,Public affairs,Gift,"$25,000,000 "
2017,Jerry Yang and Akiko Yamazaki,California,Technology,Asian Art Museum (San Francisco),California,Arts,Gift,"$25,000,000 "
2017,Bertie Deming Smith,Louisiana,,Tulane U. (New Orleans),Louisiana,Colleges and universities,Gift,"$25,000,000 "
2017,Anonymous,,,U. of Nevada at Las Vegas Foundation,Nevada,Colleges and universities,GiftMatching,"$25,000,000 "
2017,R. Steven Hicks,Texas,Finance,U. of Texas at Austin,Texas,Colleges and universities,Gift,"$25,000,000 "
2017,Bezos Family Foundation (Mike and Jackie Bezos),Washington,Family wealth,"New York U., Langone Hospital-Brooklyn",New York,Health,Gift,"$25,000,000 "
2017,James and Marilyn Simons,New York,Finance,New York Public Library,New York,Museums and libraries,Gift,"$25,000,000 "
2017,Sarah E. Johnson and Ann Johnson and Charles B. Johnson,California,Family wealth,"St. Lawrence U. (Canton, N.Y.)",New York,Colleges and universities,Unrestricted,"$25,000,000 "
2017,Anonymous,,,Oregon State U. at Corvallis,Oregon,Colleges and universities,,"$25,000,000 "
2017,Shelby Cullom Davis Charitable Fund (Andrew Davis),Arkansas,Family wealth,"Colby College (Waterville, Me.)",Maine,Colleges and universities,,"$25,000,000 "
2017,David Rockefeller,New York,Family wealth,Council on Foreign Relations (New York),New York,International,Bequest,"$25,000,000 "
2017,Richard A. and Susan P. Friedman Family Foundation (Richard A. and Susan P. Friedman),New York,Finance,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,,"$24,000,000 "
2017,Peter Werth,Connecticut,Pharmaceuticals,U. of Connecticut Foundation (Storrs),Connecticut,Colleges and universities,Pledge,"$22,500,000 "
2017,Priscilla Hunt,California,Real estate,Torrance Memorial Medical Center (Calif.),California,Health,Gift,"$22,000,000 "
2017,Moody Foundation (Frances Moody-Dahlberg),Texas,Family wealth,Dallas City Performance Hall,Texas,Arts,Gift,"$22,000,000 "
2017,David and Wendy Novak,Kentucky,Food and beverage,U. of Missouri at Columbia,Missouri,Colleges and universities,Gift,"$21,600,000 "
2017,Dean and Barbara White,Indiana,Real estate,"Southlake YMCA (Crown Point, Ind.)",Indiana,Sports and recreation,Pledge,"$21,000,000 "
2017,Searle Funds (Searle family),Illinois,Family wealth,Chicago Biomedical Consortium,Illinois,Health,Pledge,"$21,000,000 "
2017,Bruce Braden,California,Energy,"Marin General Hospital (Greenbrae, Calif.)",California,Health,Pledge,"$21,000,000 "
2017,Jon and Mindy Gray,New York,Finance,"U. of Pennsylvania, Basser Research Center for BRCA (Philadelphia)",Pennsylvania,Health,,"$21,000,000 "
2017,David Rubenstein,Maryland,Finance,Brookings Institution (Washington),District of Columbia,Public affairs,Pledge,"$20,000,000 "
2017,Lester and Renée Crown,Illinois,Family wealth,Rehabilitation Institution of Chicago,Illinois,Health,Gift,"$20,000,000 "
2017,James S. and Merryl Tisch,New York,Energy,New York Public Library,New York,Museums and libraries,Gift,"$20,000,000 "
2017,Jean E. Russell,Michigan,Education,"Cornell College (Mount Vernon, Iowa)",Iowa,Colleges and universities,Pledge,"$20,000,000 "
2017,John L. Hagler,Massachusetts,Finance,Texas A&M Foundation (College Station),Texas,Colleges and universities,Gift,"$20,000,000 "
2017,Lisa Yang and Hock E. Tan,,Finance,Massachusetts Institute of Technology (Cambridge),Massachusetts,Colleges and universities,,"$20,000,000 "
2017,Howard Trienens,,Law,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Pledge,"$20,000,000 "
2017,John P. McGovern Foundation (John McGovern),,Real estate,U. of Houston,Texas,Colleges and universities,Bequest,"$20,000,000 "
2017,John P. McGovern Foundation (Kathrine McGovern),,Real estate,U. of Houston,Texas,Colleges and universities,,"$20,000,000 "
2017,Alice Walton,Texas,Family wealth,Amon Carter Museum of American Art (Fort Worth),Texas,Arts,Gift,"$20,000,000 "
2017,John P. and Tashia F. Morgridge,California,Technology,U. of Wisconsin at Madison,Wisconsin,Colleges and universities,Gift,"$20,000,000 "
2017,Jeff and Laurie Ubben,California,Finance,World Wildlife Fund (Washington),District of Columbia,Conservation and the environment,Gift,"$20,000,000 "
2017,Donald and Ellie Knauss,California,Chemicals,U. of San Diego,California,Colleges and universities,Gift,"$20,000,000 "
2017,David Geffen,California,Entertainment,"Association for Frontotemporal Degeneration (Radnor, Pa.)",Pennsylvania,Health,Gift,"$20,000,000 "
2017,Dennis and Loretta Law,Colorado,Entertainment,U. of Denver,Colorado,Colleges and universities,Gift,"$20,000,000 "
2017,Howard P. Milstein,New York,Finance,"Cornell U. (Ithaca, N.Y.)",New York,Colleges and universities,Gift,"$20,000,000 "
2017,Marlene and Morton Meyerson Family Foundation (Morton and Marlene Meyerson),New York,Real estate,Jewish Community Center Manhattan (New York),New York,Religious groups,Gift,"$20,000,000 "
2017,Jean Hower Tabor,Ohio,Family wealth,U. of Akron (Ohio),Ohio,Colleges and universities,Bequest,"$20,000,000 "
2017,Robert W. Franz,Oregon,Finance,"Providence Health and Services (Portland, Ore.)",Oregon,Medical research,BequestEstimated,"$20,000,000 "
2017,Jack and Shirley Silver,New York,Investments,UJA-Federation of New York,New York,Religious groups,Gift,"$20,000,000 "
2017,Ballmer Group (Steve Ballmer),Washington,Technology,College Possible (St. Paul),Minnesota,Education,Pledge,"$20,000,000 "
2017,Priscilla and Donald Hunt,California,Real estate,"Providence Little Company of Mary Medical Center (Torrance, Calif.)",California,Health,Gift,"$20,000,000 "
2017,John F. McDonnell,Missouri,Defense contracting,Washington U. in St. Louis,Missouri,Colleges and universities,PledgeMatching,"$20,000,000 "
2017,John C. and Leslie Malone,Colorado,Media and entertainment,Denver Dumb Friends League,Colorado,Other groups,Gift,"$20,000,000 "
2017,Anonymous,,,Lenfest Scholars Foundation (Philadelphia),Pennsylvania,Education,Gift,"$20,000,000 "
2017,Mike and Judy Gaulke,California,Consulting,Sutter Health (Sacramento),California,Health,Gift,"$20,000,000 "
2017,Anonymous,,,Massachusetts Eye and Ear Infirmary (Boston),Massachusetts,Health,Gift,"$20,000,000 "
2017,Anonymous,,,Monmouth College (Ill.),Illinois,Colleges and universities,Pledge,"$20,000,000 "
2017,Samueli Foundation (Henry and Susan Samueli),California,Technology,U. of California at Los Angeles,California,Colleges and universities,Gift,"$20,000,000 "
2017,Robin Ingram Patton and John Ingram and Orrin Ingram,,,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,,"$20,000,000 "
2017,David Rubenstein,Maryland,Finance,"Duke U. (Durham, N.C.)",North Carolina,Colleges and universities,,"$20,000,000 "
2017,David Rockefeller,New York,Family wealth,"Mount Desert Land and Garden Preserve (Seal Harbor, Me.)",Maine,Conservation and the environment,Bequest,"$20,000,000 "
2017,Eric Esrailian,California,Entertainment,"U. of California at Los Angeles, School of Law",California,Colleges and universities,Pledge,"$20,000,000 "
2017,R. Kingman Webster,Massachusetts,Agriculture,"Essex County Community Foundation (Danvers, Mass.)",Massachusetts,Community foundations,BequestUnrestricted,"$18,000,000 "
2017,Jim Shuford and Stephen Shuford and Dorothy Shuford Lanier,,Family wealth,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,,"$18,000,000 "
2017,Betty Houston,Washington,Transportation,Museum of Flight (Seattle),Washington,Museums and libraries,BequestEstimated,"$17,000,000 "
2017,Betty Houston,Washington,Transportation,Museum of Flight (Seattle),Washington,Museums and libraries,Bequest,"$17,000,000 "
2017,Younes and Soraya Sarah Nazarian,California,Finance,California State U. at Northridge,California,Colleges and universities,Gift,"$17,000,000 "
2017,Mel Heifetz,Pennsylvania,Real estate,Philadelphia Foundation,Pennsylvania,Community foundations,Gift,"$16,000,000 "
2017,Anonymous,,,Virginia Tech (Blacksburg),Virginia,Colleges and universities,Gift,"$15,200,000 "
2017,George Shinn,Tennessee,Professional Sports,Lipscomb U. (Nashville),Tennessee,Colleges and universities,,"$15,000,000 "
2017,Hynes Foundation (James and Anne Marie Hynes),Minnesota,Telecommunications,"Iona College (New Rochelle, N.Y.)",New York,Colleges and universities,,"$15,000,000 "
2017,Moody Foundation (Robert L. Moody),Texas,Family wealth,"Waller Creek Conservancy (Austin, Tex.)",Texas,Other groups,,"$15,000,000 "
2017,John and Laura Potocsnak,Illinois,Manufacturing,"Northwestern U. (Evanston, Ill.)",Illinois,Health,Gift,"$15,000,000 "
2017,S. Donald Sussman,,Finance,Miami Jewish Health Systems,Florida,Health,Gift,"$15,000,000 "
2017,Ronald Druker,Massachusetts,Real estate,"Harvard U. (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$15,000,000 "
2017,Ray and Nancy Ann Hunt,Texas,Oil,Southern Methodist U. (Dallas),Texas,Colleges and universities,Gift,"$15,000,000 "
2017,Les and Pam Muma,Wisconsin,Technology,U. of South Florida (Tampa),Florida,Colleges and universities,Gift,"$15,000,000 "
2017,Richard and Emily Smucker,Ohio,Food and beverage,Cleveland Orchestra,Ohio,Arts,Pledge,"$15,000,000 "
2017,A. James and Alice B. Clark Charitable Foundation (Alice B. Clark),Maryland,Construction,"Stevens Institute of Technology (Hoboken, N.J.)",New Jersey,Colleges and universities,Gift,"$15,000,000 "
2017,Arthur M. Blank Family Foundation (Arthur M. Blank),Georgia,Retail,Westside Neighborhood Prosperity Fund (Atlanta),Georgia,Human and social services,Gift,"$15,000,000 "
2017,Tripp and Sheila Smith,New Jersey,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,"$15,000,000 "
2017,A. James and Alice B. Clark Charitable Foundation (A. James and Alice B. Clark),Maryland,Construction,Virginia Tech (Blacksburg),Virginia,Colleges and universities,Gift,"$15,000,000 "
2017,Gordon Getty,California,Family wealth,U. of San Francisco,California,Colleges and universities,Pledge,"$15,000,000 "
2017,Anonymous,,,Arkansas Colleges of Health Education (Fort Smith),Arkansas,Colleges and universities,Gift,"$15,000,000 "
2017,Anonymous,,,Arkansas College of Osteopathic Medicine (Fort Smith),Arkansas,Colleges and universities,Gift,"$15,000,000 "
2017,Lester and Sue Smith,Texas,Energy,Holocaust Museum Houston,Texas,Museums and libraries,Pledge,"$15,000,000 "
2017,Forest Minger,,Chemicals,Manistee County Community Foundation (Mich.),Michigan,Community foundations,Bequest,"$15,000,000 "
2017,Ofer and Shelly Nemirovsky,Massachusetts,Family wealth,U. of Southern California (Los Angeles),California,Colleges and universities,Gift,"$15,000,000 "
2017,Katharine J. Rayner,Georgia,Family wealth,New York Public Library,New York,Museums and libraries,Gift,"$15,000,000 "
2017,Dan and Elaine McGill,,Education,Maryville College (Tenn.),Tennessee,Colleges and universities,Bequest,"$15,000,000 "
2017,Anonymous,,,Lenfest Institute for Journalism (Philadelphia),Pennsylvania,Other groups,Gift,"$15,000,000 "
2017,Kenneth C. Griffin,Illinois,Finance,Robin Hood Foundation (New York),New York,Foundations,GiftChallenge,"$15,000,000 "
2017,Hunter Jones Smith,Virginia,Energy,"College of William & Mary (Williamsburg, Va.)",Virginia,Colleges and universities,,"$15,000,000 "
2017,David Rockefeller,New York,Family wealth,David Rockefeller Fund (New York),New York,Foundations,Bequest,"$15,000,000 "
2017,Laura and John Arnold Foundation (John and Laura Arnold),Texas,Energy,Institute for Clinical and Economic Review (Boston),Massachusetts,Health,Gift,"$13,900,000 "
2017,Anonymous,,,U. of Central Oklahoma Foundation (Edmond),Oklahoma,Colleges and universities,Gift,"$13,500,000 "
2017,Albert Dehn,,Health care,Michigan State U. (East Lansing),Michigan,Colleges and universities,,"$12,600,000 "
2017,Jeffrey Feil,New York,Real estate,Weill Medical College of Cornell U. (New York),New York,Health,Gift,"$12,500,000 "
2017,Jonathan and Jeannie Lavine,Massachusetts,Finance,"Harvard Business School (Cambridge, Mass.)",Massachusetts,Colleges and universities,ChallengeGift,"$12,500,000 "
2017,the Perot family,Texas,Technology,North Texas Food Bank (Dallas),Texas,Human and social services,Pledge,"$12,000,000 "
2017,Anna and John J. Sie,Colorado,Media and entertainment,Denver Art Museum,Colorado,Arts,Pledge,"$12,000,000 "
2017,Garff family,,,"U. of Utah, David Eccles School of Business (Salt Lake City)",Utah,Colleges and universities,,"$12,000,000 "
2017,Fred Klipsch,Indiana,Manufacturing,Marian U. (Ind.),Indiana,Colleges and universities,Gift,"$12,000,000 "
2017,Paul and Deborah Chellgren,Kentucky,Chemicals,U. of Kentucky (Lexington),Kentucky,Colleges and universities,Gift,"$12,000,000 "
2017,Paul and Deborah Chellgren,Kentucky,Chemicals,U. of Kentucky (Lexington),Kentucky,Colleges and universities,Gift,"$12,000,000 "
2017,Anonymous,,,Ann and Robert H. Lurie Children's Hospital of Chicago,Illinois,Health,Gift,"$12,000,000 "
