Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2015,John and Rosemary Brown,Michigan,Health products,Auburn U. (Ala.),Alabama,Colleges and universities,,"$57,000,000 "
2015,Miller family,Florida,Construction,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,,"$55,000,000 "
2015,Ray Dolby,California,Technology,U. of Cambridge (United Kingdom),,Colleges and universities,Bequest,"$52,600,000 "
2015,Herbert and Florence Irving,New York,Food and beverage,"Columbia U., Herbert and Florence Irving Medical Center (New York)",New York,Health,Gift,"$50,000,000 "
2015,Nancy and Ab Nicholas,Wisconsin,Finance,U. of Wisconsin Foundation (Madison),Wisconsin,Colleges and universities,Pledge,"$50,000,000 "
2015,Peter and Nancy Meinig,Oklahoma,"Finance, Investments","Cornell U. (Ithaca, N.Y.)",New York,Colleges and universities,,"$50,000,000 "
2015,Anonymous,,,U. of California at San Francisco,California,Colleges and universities,,"$50,000,000 "
2015,Dwight C. and Martha Schar,Florida,"Construction, Finance","Inova Health System (Falls Church, Va.)",Virginia,Health,,"$50,000,000 "
2015,Benificus Foundation (John and Ann Doerr),California,Investments,Rice U. (Houston),Texas,Colleges and universities,,"$50,000,000 "
2015,Mark and Mary Stevens,California,Investments,U. of Southern California (Los Angeles),California,Colleges and universities,,"$50,000,000 "
2015,William Louis-Dreyfus,New York,"Energy, Family wealth",Harlem Children's Zone (New York),New York,Children and youths,Pledge,"$50,000,000 "
2015,Ronald and Maxine Linde,Illinois,Manufacturing,California Institute of Technology (Pasadena),California,Colleges and universities,GiftUnrestrictedEstimated,"$50,000,000 "
2015,Raymond G. Perelman,Pennsylvania,"Finance, Investments",Children's Hospital of Philadelphia,Pennsylvania,Health,Gift,"$50,000,000 "
2015,Richard and Nancy Kinder,Texas,Energy,"Museum of Fine Arts, Houston",Texas,Arts,Gift,"$50,000,000 "
2015,David and Dana Dornsife,California,Manufacturing,Drexel U. (Philadelphia),Pennsylvania,Colleges and universities,,"$45,000,000 "
2015,Anonymous,,,Methodist Le Bonheur Healthcare (Memphis),Tennessee,Health,,"$40,000,000 "
2015,David and Dana Dornsife,California,Manufacturing,"World Vision (Federal Way, Wash.)",Washington,,,"$40,000,000 "
2015,Allen and Kelli Questrom,Texas,Retail,Boston U. School of Management,Massachusetts,Colleges and universities,Pledge,"$40,000,000 "
2015,Ruth Bedford,Connecticut,Family wealth,Westport Weston Family YMCA (Conn.),Connecticut,Social services,Bequest,"$40,000,000 "
2015,Ruth Bedford,Connecticut,Family wealth,Norwalk Hospital (Conn.),Connecticut,Health,Bequest,"$40,000,000 "
2015,Anonymous,,,Louisiana State U. (Baton Rouge),Louisiana,Colleges and universities,Pledge,"$40,000,000 "
2015,Ron and Gayle Conway,California,"Finance, Technology",U. of California at San Francisco,California,Colleges and universities,Gift,"$40,000,000 "
2015,Richard Corbett,Florida,"Finance, Real estate",U. of Notre Dame (Ind.),Indiana,Colleges and universities,,"$35,000,000 "
2015,Anonymous,,,San Francisco Foundation,California,Community foundations,,"$34,000,000 "
2015,John Luth and Joanne Chouinard-Luth,New York,Transportation,"College of the Holy Cross (Worcester, Mass.)",Massachusetts,Colleges and universities,,"$32,500,000 "
2015,Maltz Family Foundation (Milton and Tamar Maltz),Ohio,Telecommunications,Case Western Reserve U. (Cleveland),Ohio,Colleges and universities,Gift,"$30,000,000 "
2015,Burt and Deedee McMurtry,California,"Finance, Industry",Stanford U. (Calif.),California,Colleges and universities,Gift,"$30,000,000 "
2015,Andrew Sabin Family Foundation (Andrew Sabin),New York,Commodities,U. of Texas MD Anderson Cancer Center (Houston),Texas,Colleges and universities,Pledge,"$30,000,000 "
2015,Jeremy M. and Margaret Jacobs,New York,"Hotels, Professional Sports",State U. of New York at Buffalo,New York,Colleges and universities,,"$30,000,000 "
2015,Jack C. Taylor,Missouri,Retail,Forest Park Forever (St. Louis),Missouri,Other groups,,"$30,000,000 "
2015,Anonymous,,,Seattle U.,Washington,Colleges and universities,Pledge,"$30,000,000 "
2015,Stephenson Family Foundation (Charles Stephenson and Peggy Stephenson and Jim Gallogly and Janet Gallogly),Oklahoma,"Energy, Oil",U. of Oklahoma (Norman),Oklahoma,Colleges and universities,Pledge,"$30,000,000 "
2015,Edward C. Johnson Fund (Edward C. Johnson),Massachusetts,Finance,National Park Foundation (Washington),District of Columbia,Other groups,Gift,"$29,700,000 "
2015,Weslie and William Janeway,New York,Finance,U. of Cambridge (United Kingdom),,Colleges and universities,Pledge,"$27,000,000 "
2015,Jack C. Taylor,Missouri,Retail,City Arch River 2015 Foundation (St. Louis),Missouri,Historic preservation,Gift,"$25,000,000 "
2015,Frederick S. Pardee,California,Real estate,Boston U.,Massachusetts,Colleges and universities,Gift,"$25,000,000 "
2015,Shawn Jenkins,South Carolina,Technology,Medical U. of South Carolina (Charleston),South Carolina,Colleges and universities,,"$25,000,000 "
2015,Soffer Family Foundation (Donald Soffer),,Real estate,U. of Miami Health System,Florida,Colleges and universities,,"$25,000,000 "
2015,Mary Joy and Jerre Stead,Arizona,,U. of Iowa Foundation (Iowa City),Iowa,Colleges and universities,,"$25,000,000 "
2015,Gerald Hollingsworth,Florida,"Health care, Investments",U. of Mississippi (Oxford),Mississippi,Colleges and universities,,"$25,000,000 "
2015,Zell Family Foundation (Sam and Helen Zell),Illinois,"Finance, Hotels, Media and entertainment, Real estate",Bernard Zell Anshe Emet Day School (Chicago),Illinois,Education,Pledge,"$25,000,000 "
2015,Golisano Foundation (B. Thomas Golisano),New York,Investments,Special Olympics (Washington),District of Columbia,Sports and recreation,Pledge,"$25,000,000 "
2015,Paolo and Marlene Fresco Foundation (Paolo and Marlene Fresco),,"Transportation, Engineering",New York U. Langone Medical Center,New York,Colleges and universities,,"$25,000,000 "
2015,Lyda Hill,Texas,"Family wealth, Investments",U. of Texas Southwestern Medical Center (Dallas),Texas,Colleges and universities,,"$25,000,000 "
2015,Rick and Tina Caruso,California,Real estate,U. of Southern California (Los Angeles),California,Colleges and universities,,"$25,000,000 "
2015,Jeff and Karen Miller,California,Finance,Santa Clara U. (Calif.),California,Colleges and universities,Pledge,"$25,000,000 "
2015,Lisbet Rausing and Peter Baldwin,,Family wealth,"Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,,"$25,000,000 "
2015,Albert Higley Jr. and Beverly Higley,Ohio,Construction,Cleveland Foundation,Ohio,Foundations,Bequest,"$23,000,000 "
2015,Henry M. and Eleanor Rowan,New Jersey,Manufacturing,"Doane Academy (Burlington, N.J.)",New Jersey,Education,Gift,"$22,000,000 "
2015,James R. and Susan Shallcross Swartz,Utah,"Investments, Technology",Carnegie Mellon U. (Pittsburgh),Pennsylvania,Colleges and universities,,"$21,000,000 "
2015,Robert E. and Dorothy J. King,California,Finance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,"$21,000,000 "
2015,Robert Thomson,Pennsylvania,Insurance,Pittsburgh Theological Seminary,Pennsylvania,Religious groups,BequestUnrestricted,"$20,250,000 "
2015,C. Angus and Margaret Wurtele,Minnesota,Manufacturing,Walker Art Center (Minneapolis),Minnesota,Arts,Gift,"$20,000,000 "
2015,Anonymous,,,"National U., Sanford Education Center (San Diego)",California,Colleges and universities,GiftMatching,"$20,000,000 "
2015,Ray and Dagmar Dolby Family Fund (Ray and Dagmar Dolby),California,Technology,U. of California at San Francisco,California,Colleges and universities,Gift,"$20,000,000 "
2015,B. Thomas Golisano,New York,Investments,U. of Rochester Medical Center (N.Y.),New York,Health,Gift,"$20,000,000 "
2015,Samerian Foundation (Cindy Simon and Paul Skjodt),Indiana,Real estate,United States Holocaust Memorial Museum (Washington),District of Columbia,Museums and libraries,Gift,"$20,000,000 "
2015,Robert and Myra Kraft Family Foundation (Robert K. Kraft),Massachusetts,Investments,"Harvard Business School (Cambridge, Mass.)",Massachusetts,Colleges and universities,Pledge,"$20,000,000 "
2015,Mark Zuckerberg and Priscilla Chan,California,Technology,EducationSuperHighway (San Francisco),California,Education,Pledge,"$20,000,000 "
2015,James Frye,Virginia,Manufacturing,Community Foundation Serving Richmond and Central Virginia,Virginia,Community foundations,Bequest,"$20,000,000 "
2015,Tom and Gayle Benson,Louisiana,"Finance, Professional Sports, Retail","Ochsner Health System (Slidell, La.)",Louisiana,Health,,"$20,000,000 "
2015,David M. Rubenstein,Maryland,Finance,"Institute for Advanced Study (Princeton, N.J.)",New Jersey,Colleges and universities,,"$20,000,000 "
2015,Steve and Connie Ballmer,Washington,Technology,U. of Washington (Seattle),Washington,Colleges and universities,,"$20,000,000 "
2015,Gehr Family Foundation (Norbert Gehr),California,"Investments, Manufacturing","U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,,"$20,000,000 "
2015,Anonymous,,,Montclair State U. (N.J.),New Jersey,Colleges and universities,,"$20,000,000 "
2015,Dorothy Byrne,New Hampshire,Insurance,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,"$20,000,000 "
2015,Gottesman Fund (Alfred H. Moses and Milton Gottesman),District of Columbia,"Finance, Government, Law",Jewish Primary Day School of the Nation's Capital (Washington),District of Columbia,Education,,"$20,000,000 "
2015,Rubens Family Foundation (Gary and Jennifer Rubens),Washington,Investments,Washington State Opportunity Scholarship (Issaquah),Washington,Education,MatchingPledge,"$20,000,000 "
2015,Green Family Foundation (Steven Green and Dorothea Green and Kimberly Green),Florida,"Finance, Government",Florida International U. Foundation (North Miami),Florida,Colleges and universities,,"$20,000,000 "
2015,Simon B. and Sylvia Poyta,New York,Health care,WNET.org (New York),New York,Other groups,Bequest,"$20,000,000 "
2015,Donald T. Bollinger,Louisiana,Construction,National World War II Museum (New Orleans),Louisiana,Museums and libraries,Gift,"$20,000,000 "
2015,Lowell Baier,Maryland,"Law, Real estate",Indiana U. Maurer School of Law (Bloomington),Indiana,Colleges and universities,Pledge,"$20,000,000 "
2015,Rogers Foundation (Beverly Rogers),Nevada,Media and entertainment,"U. of Nevada at Las Vegas, Black Mountain Institute",Nevada,Colleges and universities,Pledge,"$20,000,000 "
2015,Scott Mueller,Ohio,Retail,Cleveland Museum of Art,Ohio,Arts,GiftChallenge,"$20,000,000 "
2015,Ray Irani,California,Engineering,U. of Southern California (Los Angeles),California,Colleges and universities,Gift,"$20,000,000 "
2015,Eric Trump,New York,"Family wealth, Real estate",St. Jude Children's Research Hospital (Memphis),Tennessee,Health,Gift,"$20,000,000 "
2015,Louise Oriole Burevitch,North Carolina,Family wealth,North Carolina Community Foundation (Raleigh),North Carolina,Community foundations,Bequest,"$20,000,000 "
2015,Anonymous,,,"Centre College (Danville, Ky.)",Kentucky,Colleges and universities,GiftMatching,"$20,000,000 "
2015,Stephen and Karen Sanger,Minnesota,Food and beverage,U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Gift,"$20,000,000 "
2015,Alan and Daveen Fox,Texas,Entertainment,U. of Arizona (Tucson),Arizona,Colleges and universities,Gift,"$20,000,000 "
2015,S.D. Bechtel Jr. Foundation (Stephen D. Bechtel Jr.),California,Construction,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,Gift,"$18,500,000 "
2015,James and Carol Herscot,Massachusetts,Real estate,Massachusetts General Hospital (Boston),Massachusetts,Health,,"$17,500,000 "
2015,"Jack, Joseph, and Morton Mandel Foundation (Joseph and Florence Mandel)",Ohio,Industry,"Joseph & Florence Mandel Jewish Day School (Beachwood, Ohio)",Ohio,Education,Gift,"$17,050,000 "
2015,John and Nancy Lindahl,Minnesota,Finance,U. of Minnesota (Minneapolis),Minnesota,Colleges and universities,Pledge,"$17,000,000 "
2015,Roscoe and Jane Logan,California,,Washington State U. (Pullman),Washington,Colleges and universities,Bequest,"$16,500,000 "
2015,R.B. Terry Charitable Foundation (Randall B. Terry Jr.),North Carolina,Media and entertainment,North Carolina State U. (Raleigh),North Carolina,Colleges and universities,Gift,"$16,000,000 "
2015,C. Kenneth and Dianne Wright Foundation (C. Kenneth Wright),Virginia,Transportation,Virginia Commonwealth U. (Richmond),Virginia,Colleges and universities,,"$16,000,000 "
2015,Cupid Foundation (Kevin Plank),Maryland,Retail,"St. John's College High School (Chevy Chase, D.C.)",District of Columbia,Education,,"$16,000,000 "
2015,Anonymous,,,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,Pledge,"$15,000,000 "
2015,Richard and Priscilla Hunt,Massachusetts,Family wealth,Pittsburgh Foundation,Pennsylvania,Foundations,,"$15,000,000 "
2015,Stewart A. and Lynda R. Resnick,California,"Agriculture, Food and beverage, Investments",Aspen Institute (Washington),District of Columbia,Public affairs,,"$15,000,000 "
2015,Kirk and Anne Douglas,California,Entertainment,"Motion Picture & Television Fund (Woodland Hills, Calif.)",California,Arts,,"$15,000,000 "
2015,Jim Berchtold and Amy Dundon-Berchtold,Oregon,Finance,U. of Portland (Ore.),Oregon,Colleges and universities,Pledge,"$15,000,000 "
2015,Robert LaPenta,Connecticut,"Finance, Technology","Iona College (New Rochelle, N.Y.)",New York,Colleges and universities,,"$15,000,000 "
2015,John A. and Susan Sobrato,California,Real estate,U. of San Francisco,California,Colleges and universities,Pledge,"$15,000,000 "
2015,William Boeing Jr. and June Boeing,Washington,"Family wealth, Transportation",Museum of Flight (Seattle),Washington,Museums and libraries,Bequest,"$15,000,000 "
2015,Donald Graham,,,"TheDream.US (Arlington, Va.)",Virginia,Education,Pledge,"$15,000,000 "
2015,Archie W. and Linda Dunham,Texas,Energy,Houston Baptist U.,Texas,Colleges and universities,,"$15,000,000 "
2015,Stephen Boesel,Florida,Finance,"Baldwin Wallace University, School of Business (Berea, Ohio)",Ohio,Colleges and universities,Pledge,"$15,000,000 "
2015,Isabel Hamilton Benham,New York,Finance,Bryn Mawr College (Pa.),Pennsylvania,Colleges and universities,Bequest,"$15,000,000 "
2015,James F. and Anne Rothenberg,California,"Finance, Investments",California Institute of Technology (Pasadena),California,Colleges and universities,Pledge,"$15,000,000 "
2015,Oscar L. Tang,New York,"Finance, Investments",Metropolitan Museum of Art (New York),New York,Arts,Pledge,"$15,000,000 "
2015,Anonymous,,,U. of Southern California (Los Angeles),California,Colleges and universities,,"$15,000,000 "
2015,Felda and Dena Hardymon,Massachusetts,Finance,"Clark Art Institute (Williamstown, Mass.)",Massachusetts,Arts,Gift,"$15,000,000 "
2015,Barbara Walters,New York,Media and entertainment,"Sarah Lawrence College (Bronxville, N.Y.)",New York,Colleges and universities,Gift,"$15,000,000 "
2015,Edward Claugus,Nevada,"Finance, Investments",Ohio State U. (Columbus),Ohio,Colleges and universities,Bequest,"$14,000,000 "
2015,George and Julia Argyros,California,Real estate,"Segerstrom Center for the Arts (Costa Mesa, Calif.)",California,Arts,Pledge,"$13,500,000 "
2015,Paul J. and Jan Varello,Texas,Construction,Villanova U. College of Engineering (Pa.),Pennsylvania,Colleges and universities,Pledge,"$13,500,000 "
2015,Sam Simon,California,Entertainment,"Sam Simon Charitable Giving Foundation (Westlake Village, Calif.)",California,Foundations,Bequest,"$13,105,583 "
2015,Bobbie Nau and John L. Nau III,Texas,Food and beverage,U. of Virginia (Charlottesville),Virginia,Colleges and universities,,"$13,000,000 "
2015,Coralyn Wright Whitney,,Education,"Smithsonian Institution, National Museum of Natural History (Washington)",District of Columbia,Museums and libraries,,"$13,000,000 "
2015,Dick E. Morand,Michigan,Engineering,Planned Giving Roundtable of Southeast Michigan (Dryden),Michigan,Foundations,Bequest,"$13,000,000 "
2015,Helen Wallace,California,Health care,U. of California at Berkeley,California,Colleges and universities,Bequest,"$13,000,000 "
2015,Max Baumgardner,,Investments,U. of Louisville (Ky.),Kentucky,Colleges and universities,Gift,"$12,600,000 "
2015,Hassenfeld family,Rhode Island,Manufacturing,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,Gift,"$12,500,000 "
2015,Anonymous,,,"Scripps Research Institute (La Jolla, Calif.)",California,Health,ChallengeGift,"$12,500,000 "
2015,Albert Lepage Foundation (Albert Lepage),,Food and beverage,Tulane U. Freeman School of Business (New Orleans),Louisiana,Colleges and universities,,"$12,500,000 "
2015,Mary Griggs Burke,New York,Family wealth,Minneapolis Institute of Arts,Minnesota,Arts,Bequest,"$12,500,000 "
2015,Mary and Jackson Burke Foundation (Mary Griggs Burke),New York,Family wealth,Metropolitan Museum of Art (New York),New York,Arts,Bequest,"$12,500,000 "
2015,Anonymous,,,U. of Florida (Gainesville),Florida,Colleges and universities,Gift,"$12,500,000 "
2015,Norman Levan,California,,"U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,Bequest,"$12,000,000 "
2015,Anonymous,,,Seattle U.,Washington,Colleges and universities,Pledge,"$12,000,000 "
2015,Marion and Henry Bloch Family Foundation (Henry W. and Marion Bloch),Missouri,Finance,"Nelson-Atkins Museum of Art (Kansas City, Mo.)",Missouri,Arts,,"$11,700,000 "
2015,Stuart and Jan Bartleson,California,Construction,California Polytechnic State U. at San Luis Obispo,California,Colleges and universities,Noncash,"$11,300,000 "
2015,George and Liz Krupp,Massachusetts,Real estate,Combined Jewish Philanthropies (Boston),Massachusetts,Education,ChallengeGift,"$11,250,000 "
2015,Gianforte Family Foundation (Greg and Susan Gianforte),Montana,Technology,"Petra Academy (Bozeman, Mont.)",Montana,Education,Gift,"$11,100,000 "
2015,James L. Easton,California,Manufacturing,"U. of California at Los Angeles, Anderson School of Management",California,Colleges and universities,Gift,"$11,000,000 "
2015,Steve and Connie Ballmer,Washington,Technology,Washington State Opportunity Scholarship (Issaquah),Washington,Education,Gift,"$11,000,000 "
2015,Feigenbaum Foundation (Armand V. and Donald S. Feigenbaum),Massachusetts,Engineering,"Union College (Schenectady, N.Y.)",New York,Colleges and universities,Bequest,"$11,000,000 "
2015,Jerry and Gene Jones,Texas,Professional Sports,U. of Arkansas at Fayetteville,Arkansas,Colleges and universities,GiftNoncash,"$10,650,000 "
2015,Muneer Satter and Kristen Hertel,Illinois,Finance,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,,"$10,500,000 "
2015,Henry Bullock,California,Real estate,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Pledge,"$10,500,000 "
2015,William Swanson and Cheryl Swanspn,,Technology,California Polytechnic State U. at San Luis Obispo,California,Colleges and universities,,"$10,200,000 "
2015,Patricia and Phillip Frost,Florida,,Patricia and Phillip Frost Museum of Science (Miami),Florida,Museums and libraries,Gift,"$10,000,000 "
2015,Engelstad Family Foundation (Betty Engelstad),Nevada,"Casinos, Hotels",Three Square Food Bank (Las Vegas),Nevada,Human and social services,Gift,"$10,000,000 "
2015,Kathryn Wasserman Davis,New York,Finance,Columbia U. (New York),New York,Colleges and universities,Bequest,"$10,000,000 "
2015,Marc R. and Lynne Benioff,California,Technology,U. of California at Santa Barbara,California,Colleges and universities,Gift,"$10,000,000 "
2015,Anonymous,,,Princeton U. (N.J.),New Jersey,Colleges and universities,Gift,"$10,000,000 "
2015,Jack C. Taylor,Missouri,Retail,Saint Louis Symphony Orchestra (St. Louis),Missouri,Arts,Gift,"$10,000,000 "
2015,Peter S. Kalikow,New York,"Real estate, Transportation","Hofstra U. (Hempstead, N.Y.)",New York,Colleges and universities,Gift,"$10,000,000 "
2015,William Binns Smith,Massachusetts,Manufacturing,U. of Massachusetts Memorial Medical Center (Worcester),Massachusetts,Health,Bequest,"$10,000,000 "
2015,Gabelli Foundation (Mario J. Gabelli),Connecticut,Finance,"Boston College (Chestnut Hill, Mass.)",Massachusetts,Colleges and universities,Gift,"$10,000,000 "
2015,Feld Family Foundation (Kenneth and Bonnie Feld),Florida,Entertainment,Boston U.,Massachusetts,Colleges and universities,Gift,"$10,000,000 "
2015,Alfred E. Mann,Nevada,Health care,Los Angeles Philharmonic,California,Arts,Gift,"$10,000,000 "
2015,Anonymous,,,Minnesota Public Radio (St. Paul),Minnesota,Other groups,Gift,"$10,000,000 "
2015,Bernard and Millie Children's Foundation (William and Sharon Casey Duker),New York,"Investments, Law",State U. of New York at Albany,New York,Colleges and universities,Gift,"$10,000,000 "
2015,Anonymous,,,Colorado College (Colorado Springs),Colorado,Colleges and universities,GiftChallenge,"$10,000,000 "
2015,Anonymous,,,"Harvard Graduate School of Education (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$10,000,000 "
2015,George Lucas Family Foundation (George Lucas and Mellody Hobson),California,Entertainment,"U. of Southern California, School of Cinematic Arts (Los Angeles)",California,Colleges and universities,Gift,"$10,000,000 "
2015,Jerry and Nancy Neely,Texas,Oil,"U. of Southern California, Marshall School of Business (Los Angeles)",California,Colleges and universities,Gift,"$10,000,000 "
2015,Edyth B. Lindner,Ohio,Finance,Cincinnati Symphony and Pops Orchestra,Ohio,Arts,,"$10,000,000 "
2015,Milton V. and Carolyn Peterson,,Real estate,"George Mason U. (Fairfax, Va.)",Virginia,Colleges and universities,Gift,"$10,000,000 "
2015,James (Jimmy) A. Haslam III and Dee Haslam,,Retail,Breakthrough Schools (Cleveland),Ohio,Education,GiftChallenge,"$10,000,000 "
2015,Marc and Claire Perlman,,Retail,Boston Medical Center,Massachusetts,Health,Pledge,"$10,000,000 "
2015,Anonymous,,,Boston Medical Center,Massachusetts,Health,Challenge,"$10,000,000 "
2015,O. Allen Alpay,California,Engineering,Torrance Memorial Medical Center (Calif.),California,Health,,"$10,000,000 "
2015,Wayne Ryan,Nebraska,Manufacturing,St. Wenceslaus Catholic Church (Omaha),Nebraska,Religious groups,,"$10,000,000 "
2015,Iris Cantor,New York,Family wealth,"New York U., Tisch School of the Arts",New York,Colleges and universities,,"$10,000,000 "
2015,Thomas Hagen,Pennsylvania,Insurance,Erie Community Foundation (Pa.),Pennsylvania,Community foundations,,"$10,000,000 "
2015,Leonard and Wendy Goldberg,,Entertainment,U. of California at Los Angeles,California,Colleges and universities,,"$10,000,000 "
2015,Robert H. Smith Family Foundation (Robert H. Smith),Virginia,Real estate,"U. of Maryland, Robert H. Smith School of Business (College Park)",Maryland,Colleges and universities,Bequest,"$10,000,000 "
2015,Anonymous,,,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,,"$10,000,000 "
2015,Anonymous,,,American Public Media (St. Paul),Minnesota,Other groups,UnrestrictedGift,"$10,000,000 "
2015,Andrew and Barbara Taylor,Missouri,Retail,Washington U. in St. Louis,Missouri,Colleges and universities,,"$10,000,000 "
2015,Sam Altman,California,Technology,"YC Research (Mountain View, Calif.)",California,Other groups,Pledge,"$10,000,000 "
2015,Anonymous,,,Punahou School (Honolulu),Hawaii,Education,,"$10,000,000 "
2015,Timothy H. and Sharon Ubben,Florida,Finance,Artis-Naples (Fla.),Florida,Arts,,"$10,000,000 "
2015,Chad Richison,Oklahoma,Technology,U. of Central Oklahoma Foundation (Edmond),Oklahoma,Colleges and universities,,"$10,000,000 "
2015,Jacqueline Badger Mars,Virginia,"Family wealth, Food and beverage",John F. Kennedy Center for the Performing Arts (Washington),District of Columbia,Arts,,"$10,000,000 "
2015,Stephen A. and Christine Hearst Schwarzman,New York,Investments,John F. Kennedy Center for the Performing Arts (Washington),District of Columbia,Arts,,"$10,000,000 "
2015,Marilyn & Rudolph M. Navari Charitable Foundation (Rudolph and Marilyn Navari),Georgia,"Education, Health care",U. of Notre Dame Hesburgh Libraries (Ind.),Indiana,Colleges and universities,,"$10,000,000 "
2015,Robert D. and Margaret Peggy Walters,Ohio,Pharmaceuticals,Columbus Museum of Art (Ohio),Ohio,Arts,,"$10,000,000 "
2015,Tom and Karen Falk,Texas,Manufacturing,U. of Wisconsin at Madison,Wisconsin,Colleges and universities,Pledge,"$10,000,000 "
2015,Sheldon B. and Marianne Lubar,Wisconsin,Investments,U. of Wisconsin at Milwaukee,Wisconsin,Colleges and universities,,"$10,000,000 "
2015,Diana Davis Spencer Foundation (Diana Davis Spencer),Maryland,,"The Masters School (Dobbs Ferry, N.Y.)",New York,Education,,"$10,000,000 "
2015,Anonymous,,,"Baylor U. (Waco, Tex.)",Texas,Colleges and universities,,"$10,000,000 "
2015,Daniel W. Dietrich II,Pennsylvania,Family wealth,"U. of Pennsylvania, Institute of Contemporary Art (Philadelphia)",Pennsylvania,Colleges and universities,,"$10,000,000 "
2015,"Jack, Joseph, and Morton Mandel Foundation (Morton and Joseph Mandel)",Ohio,Industry,Cuyahoga Community College Foundation (Cleveland),Ohio,Colleges and universities,,"$10,000,000 "
2015,R. Milton and Denice Johnson,Tennessee,Health care,Belmont U. (Nashville),Tennessee,Colleges and universities,,"$10,000,000 "
2015,Anonymous,,,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Gift,"$10,000,000 "
2015,Richard (Dick) Levy,California,Health products,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,"$10,000,000 "
2015,Harold and Nancy Zirkin,District of Columbia,Finance,MedStar Health (Washington),District of Columbia,Health,,"$10,000,000 "
